               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.021985,            0.016417,           0.0011057,             0.91307,             0.86203,             0.88966,             0.67043,            0.020628,           0.0078526,           0.0014969,             0.00307,             0.00307,             0.00307
                  37,            0.021738,            0.016652,           0.0010623,               0.953,             0.84055,             0.88497,             0.67865,            0.019834,            0.007619,           0.0024879,            0.002872,            0.002872,            0.002872
                  38,             0.02156,            0.016258,          0.00091569,             0.93178,              0.8032,             0.88413,             0.68359,            0.019437,           0.0076495,            0.002828,            0.002674,            0.002674,            0.002674
                  39,            0.021472,             0.01573,          0.00089899,             0.94323,             0.83016,             0.90068,             0.70044,            0.019207,           0.0075277,           0.0017349,            0.002476,            0.002476,            0.002476
                  40,            0.020605,            0.015162,          0.00093307,             0.92863,             0.84521,             0.88678,             0.68836,            0.019163,           0.0076915,           0.0018258,            0.002278,            0.002278,            0.002278
                  41,            0.020554,            0.015313,           0.0011076,              0.9406,             0.83247,             0.89352,             0.69433,             0.01932,           0.0077577,           0.0017545,             0.00208,             0.00208,             0.00208
                  42,            0.020988,            0.015444,          0.00086595,             0.97655,             0.82614,             0.87583,             0.69419,            0.019011,           0.0076377,           0.0021564,            0.001882,            0.001882,            0.001882
                  43,            0.020838,            0.016171,           0.0012085,             0.98518,             0.81262,             0.88641,             0.69438,            0.019043,           0.0076244,           0.0021552,            0.001684,            0.001684,            0.001684
                  44,            0.019421,            0.014682,          0.00087275,             0.97678,             0.81791,             0.86633,             0.69327,            0.018507,           0.0075206,           0.0022023,            0.001486,            0.001486,            0.001486
                  45,            0.019784,            0.014089,          0.00081574,             0.94463,             0.83262,             0.87287,             0.70071,            0.017687,           0.0076396,           0.0022013,            0.001288,            0.001288,            0.001288
                  46,             0.01919,            0.015158,          0.00064581,              0.9548,              0.8152,             0.88623,             0.70027,            0.017791,           0.0075697,           0.0016392,             0.00109,             0.00109,             0.00109
                  47,            0.018928,             0.01404,          0.00072393,             0.94148,             0.83262,             0.88086,             0.70593,            0.017754,           0.0075251,           0.0020509,            0.000892,            0.000892,            0.000892
                  48,            0.018744,            0.014829,          0.00076213,             0.93965,             0.83126,             0.88422,             0.70344,            0.017689,           0.0074666,           0.0021087,            0.000694,            0.000694,            0.000694
                  49,            0.018537,            0.014955,           0.0007181,             0.94325,             0.83262,             0.88078,             0.70578,            0.017773,           0.0074742,           0.0022006,            0.000496,            0.000496,            0.000496
