               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.025112,            0.018963,                   0,             0.79994,             0.75758,             0.73804,             0.48692,            0.045133,            0.015595,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.024867,            0.020575,                   0,             0.83616,             0.75758,             0.74947,             0.50733,            0.044652,            0.015097,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.025106,            0.018576,                   0,             0.86373,             0.78788,             0.78078,             0.50712,            0.044101,            0.015309,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.025499,             0.02057,                   0,             0.81355,             0.80303,             0.77797,             0.50255,            0.043316,             0.01509,                   0,            0.001882,            0.001882,            0.001882
                  43,              0.0247,            0.020008,                   0,             0.77996,             0.81818,              0.8044,             0.50563,            0.043369,             0.01519,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.025722,            0.018051,                   0,             0.78883,             0.77273,             0.77492,             0.49208,            0.043851,             0.01533,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.024227,            0.019728,                   0,             0.77968,             0.78788,              0.7685,             0.49822,            0.043434,            0.015345,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.022546,            0.018426,                   0,             0.79327,             0.81818,              0.7903,             0.49496,            0.042922,            0.015509,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.023881,            0.019066,                   0,             0.82736,             0.79876,             0.78659,             0.49152,            0.042568,            0.015278,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.022307,            0.019396,                   0,             0.82963,             0.81165,             0.78803,             0.49714,            0.042631,            0.015178,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.022574,            0.018287,                   0,              0.8304,             0.81605,              0.7896,             0.49943,            0.042459,            0.015104,                   0,            0.000496,            0.000496,            0.000496
